Ticker,Setor
MLAS3,Computadores e Equipamentos
MNDL3,"Tecidos, Vestuário e Calçados"
MNPR3,Alimentos Processados
MOTV3,Transporte
MOVI3,Diversos
MRVE3,Construção Civil
MTRE3,Construção Civil
MTSA4,Máquinas e Equipamentos
MULT3,Exploração de Imóveis
MYPK3,Automóveis e Motocicletas
NATU3,Produtos de Uso Pessoal e de Limpeza
NGRD3,Programas e Serviços
NUTR3,Químicos
OBTC3,Diversos
OFSA3,Medicamentos e Outros Produtos
OIBR3,Telecomunicações
OIBR4,Telecomunicações
ONCO3,Serv.Méd.Hospit. Análises e Diagnósticos
OPCT3,"Petróleo, Gás e Biocombustíveis"
ORVR3,Água e Saneamento
OSXB3,"Petróleo, Gás e Biocombustíveis"
PASS3,Gás
PATI3,Siderurgia e Metalurgia
PCAR3,Comércio e Distribuição
PDGR3,Construção Civil
PDTC3,Serviços Financeiros Diversos
PETR3,"Petróleo, Gás e Biocombustíveis"
PETR4,"Petróleo, Gás e Biocombustíveis"
PFRM3,Comércio e Distribuição
PGMN3,Comércio e Distribuição
PINE3,Intermediários Financeiros
PINE4,Intermediários Financeiros
PLPL3,Construção Civil
PMAM3,Siderurgia e Metalurgia
PNVL3,Comércio e Distribuição
POMO3,Material de Transporte
POMO4,Material de Transporte
POSI3,Computadores e Equipamentos
PRIO3,"Petróleo, Gás e Biocombustíveis"
PRNR3,Serviços Diversos
PSSA3,Previdência e Seguros
PTBL3,Construção e Engenharia
QUAL3,Serv.Méd.Hospit. Análises e Diagnósticos
RADL3,Comércio e Distribuição
RAIL3,Transporte
RAIZ4,"Petróleo, Gás e Biocombustíveis"
RANI3,Madeira e Papel
RAPT3,Material de Transporte
RAPT4,Material de Transporte
RCSL3,Material de Transporte
RCSL4,Material de Transporte
RDOR3,Serv.Méd.Hospit. Análises e Diagnósticos
RECV3,"Petróleo, Gás e Biocombustíveis"
RENT3,Diversos
RIAA3,Comércio
RNEW3,Energia Elétrica
RNEW4,Energia Elétrica
ROMI3,Máquinas e Equipamentos
RPAD5,Intermediários Financeiros
RPMG3,"Petróleo, Gás e Biocombustíveis"
RSUL4,Material de Transporte
RVEE3,Viagens e Lazer
SANB11,Intermediários Financeiros
SANB3,Intermediários Financeiros
SANB4,Intermediários Financeiros
SAPR11,Água e Saneamento
SAPR3,Água e Saneamento
SAPR4,Água e Saneamento
SAUD3,Serv.Méd.Hospit. Análises e Diagnósticos
SBFG3,Comércio
SBSP3,Água e Saneamento
SCAR3,Exploração de Imóveis
SEER3,Diversos
SEQL3,Serviços Diversos
SHOW3,Viagens e Lazer
SHUL4,Máquinas e Equipamentos
SIMH3,Holdings Diversificadas
SLCE3,Agropecuária
SMFT3,Viagens e Lazer
SMTO3,Alimentos Processados
SNSY5,Materiais Diversos
SOJA3,Agropecuária
SOND6,Construção e Engenharia
SUZB3,Madeira e Papel
SYNE3,Exploração de Imóveis
TAEE11,Energia Elétrica
TAEE3,Energia Elétrica
TAEE4,Energia Elétrica
TASA3,Máquinas e Equipamentos
TASA4,Máquinas e Equipamentos
TCSA3,Construção Civil
TECN3,"Tecidos, Vestuário e Calçados"
TELB3,Telecomunicações
TELB4,Telecomunicações
TEND3,Construção Civil
TFCO4,"Tecidos, Vestuário e Calçados"
TGMA3,Transporte
TIMS3,Telecomunicações
TOKY3,Programas e Serviços
TOTS3,Programas e Serviços
TPIS3,Transporte
TRAD3,Programas e Serviços
TRIS3,Construção Civil
TTEN3,Agropecuária
TUPY3,Material de Transporte
UCAS3,Utilidades Domésticas
UGPA3,"Petróleo, Gás e Biocombustíveis"
UNIP3,Químicos
UNIP5,Químicos
UNIP6,Químicos
USIM3,Siderurgia e Metalurgia
USIM5,Siderurgia e Metalurgia
VALE3,Mineração
VAMO3,Diversos
VBBR3,"Petróleo, Gás e Biocombustíveis"
VITT3,Químicos
VIVA3,"Tecidos, Vestuário e Calçados"
VIVR3,Construção Civil
VIVT3,Telecomunicações
VLID3,Serviços Diversos
VSTE3,Comércio
VTRU3,Diversos
VULC3,"Tecidos, Vestuário e Calçados"
VVEO3,Comércio e Distribuição
WDCN3,Programas e Serviços
WEGE3,Máquinas e Equipamentos
WEST3,Programas e Serviços
WHRL3,Utilidades Domésticas
WHRL4,Utilidades Domésticas
WIZC3,Previdência e Seguros
WLMM4,Comércio
YDUQ3,Diversos
